UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8253,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,20.4,3.3,0.05,,0.2,7.1,4,1.1
8256,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0085,292,4.92,0,0,0.448,8.42,21,1.601
8258,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0054,90.4,1.84,0.002,0.001,0.116,8.32,36,14.576
8264,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0418,690,8.83,0.005,,1.39,8.64,23.9,49.5
8265,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0234,354,2.76,0.005,,0.443,8.58,53,11.9
8266,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.114,1433,13.46,0.005,0,1.891,8.85,67,6.259
8275,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.076,11430,23.85,0,0,3.094,8.8,99,1.616
8276,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.07,5200,20.95,0.013,0,2.535,8.83,39,1.353
8277,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.027,19030,23.23,0,0,1.703,7.6,209,3.663
8278,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,553,9.86,0,0,3.344,9.11,343,28.045
8279,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0094,478,4.88,0.002,0,2.308,8.63,260,45.29
8282,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.008,252,8.27,0.002,0,0.666,8.53,28,5.095
8283,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.207,1237,4.88,0.355,0,1.231,8.25,93,37.221
8284,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.036,1742,18.83,0.002,0,1.96,8.62,72,4.791
8285,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0095,94.8,3.23,0.003,0.001,0.231,7.94,4,1.772
8289,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.058,205,10.57,0,0,2.289,8.54,235,5.624
8290,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,668,12.98,0.002,0,2.233,8.17,392,16.84
8291,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0073,36.2,0.7,0.002,0.001,0.141,7.45,34,11.35
8293,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.123,245,8.72,0.003,0,1.524,8.24,125,4.361
8295,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,166.4,7.71,0,0,0.67,8.76,25,1.79
8297,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0054,215,0.73,0.026,0.001,0.104,8.11,16,6.434
8298,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0085,126.1,4.93,0.002,0,0.484,7.48,37,9.642
8299,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0052,60.3,1.97,0.002,0,0.225,7.7,10,0.999
8300,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.392,296,26.38,0.005,0.001,4.65,7.96,525,9.624
8301,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.009,416,4.27,0.002,0,0.691,8.82,47,6.641
8302,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.04,550,18.14,0.002,0,1.599,10.27,339,2.512
8303,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0049,1366,3.23,0.002,0,0.348,8.42,13,3.623
8307,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.124,805,3.52,0.637,0.002,1.234,8.48,9,0.475
8308,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,126.9,11.03,0.002,0.001,0.785,8.4,42,9.344
8311,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.446,1654,14.94,0.015,0,2.133,8.61,419,37.947
8314,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.02,20.8,6.2,0.05,,0.4,7,9,2
8316,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.018,91.1,8.18,0.003,0,0.629,6.97,39,4.543
8318,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.026,263,12.05,0.004,0,1.943,8.41,147,5.243
8319,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.031,173.4,1.58,0.374,0.003,0.591,8.4,92,23.852
8320,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.019,76,11.76,0.002,0,1.201,8.85,75,6.488
8321,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.019,484,2.17,0.012,0,0.211,8.6,25,5.311
