TSN,,Genus,,Species,,Variety
1393,,Stigonema,,canadensis,,
1394,,Stigonema,,hormoides,,
1395,,Stigonema,,hormoides,,hormoides
1396,,Stigonema,,hormoides,,africana
1397,,Stigonema,,informe,,
1398,,Stigonema,,mesentericum,,
1399,,Stigonema,,minutum,,
1400,,Stigonema,,minutum,,minutum
1401,,Stigonema,,minutum,,saxicola
1402,,Stigonema,,mirabile,,
1403,,Stigonema,,ocellatum,,
1404,,Stigonema,,panniforme,,
1405,,Stigonema,,tomentosum,,
1406,,Stigonema,,turfaceum,,
1407,,Fischerella,,,,
1408,,Fischerella,,thermalis,,
1411,,Fischerella,,major,,
1412,,Fischerella,,letestui,,
1413,,Fischerella,,ambiqua,,
1414,,Fischerella,,musicola,,
1415,,Fischerella,,musicola,,musicola
1416,,Fischerella,,musicola,,minor
1417,,Hapalosiphon,,,,
1418,,Hapalosiphon,,pumilus,,
1419,,Hapalosiphon,,arboreus,,
1420,,Hapalosiphon,,aureus,,
1421,,Hapalosiphon,,brasiliensis,,
1422,,Hapalosiphon,,confervaceus,,
1423,,Hapalosiphon,,delicatulus,,
1424,,Hapalosiphon,,flexuosus,,
1425,,Hapalosiphon,,fontinalis,,
1426,,Hapalosiphon,,hibernicus,,
1427,,Hapalosiphon,,intricatus,,
1428,,Hapalosiphon,,laminosus,,
1429,,Hapalosiphon,,welwitschii,,
1430,,Mastigocladopsidaceae,,,,
1431,,Mastigocladopsis,,,,
1432,,Mastigocladopsis,,jogensis,,
1433,,Pleurocapsales,,,,
1434,,Pleurocapsaceae,,,,
1435,,Pleurocapsa,,,,
1436,,Pleurocapsa,,crepidinum,,
1437,,Pleurocapsa,,fuliginosa,,
1438,,Xenococcus,,,,
1439,,Xenococcus,,laminariae,,
1440,,Xenococcus,,kerneri,,
1441,,Xenococcus,,schousboei,,
1442,,Myxosarcina,,,,
1443,,Myxosarcina,,concinna,,
1444,,Hyellaceae,,,,
1445,,Hyella,,,,
1446,,Hyella,,caespitosa,,
174,,Flavobacterium,,,,
177,,Flavobacterium,,aquatile,,
180727,,Coccochloris,,aeruginosa,,
180728,,Microcrocis,,geminata,,
180730,,Microcystis,,geminata,,
180731,,Entophysalis,,endophytica,,
180732,,Clastidiaceae,,,,
180733,,Clastidium,,,,
180734,,Clastidium,,setigerum,,
180735,,Capsosiraceae,,,,
180736,,Capsosira,,,,
180737,,Capsosira,,brebissonii,,
180738,,Stichosiphon,,sansibaricus,,
180740,,Microcoleus,,irriguus,,
180742,,Porphyrosiphon,,miniatus,,
180743,,Porphyrosiphon,,kurzii,,
180745,,Schizothrix,,monticulosa,,
180747,,Schizothrix,,rubella,,
180749,,Leptochaete,,,,
180750,,Leptochaete,,crustacea,,
180753,,Nostochopsis,,,,
180754,,Nostochopsis,,lobatus,,
189417,,Schizothrix,,fuscescens,,
189418,,Leptolyngbya,,,,
189419,,Leptolyngbya,,tenuis,,
189420,,Planktothrix,,,,
189421,,Planktothrix,,agardhii,,
189422,,Pseudophormidium,,,,
189423,,Pseudophormidium,,radiosum,,
189424,,Pseudophormidium,,tenue,,
202,,Acinetobacter,,,,
203688,,Lyngbya,,pseudospirulina,,
203689,,Cylindrospermopsis,,,,
203690,,Cylindrospermopsis,,raciborskii,,
222,,Alcaligenes,,,,
232,,Alcaligenes,,faecalis,,
245,,Enterobacteriaceae,,,,
246,,Enterobacter,,,,
247,,Enterobacter,,aerogenes,,
248,,Enterobacter,,cloacae,,
249,,Proteus,,,,
263,,Proteus,,hauseri,,
273,,Citrobacter,,,,
280,,Escherichia,,,,
285,,Escherichia,,coli,,
302,,Salmonella,,,,
305,,Brucellaceae,,,,
306,,Pasteurella,,,,
409,,Rhizobiaceae,,,,
410,,Chromobacterium,,,,
461,,Bacteroidaceae,,,,
462,,Neisseriaceae,,,,
471,,Cytophagaceae,,,,
472,,Cytophaga,,,,
476,,Cytophaga,,aurantiaca,,
482,,Cytophaga,,fermentans,,
501,,Spirochaetales,,,,
502,,Spirochaetaceae,,,,
503,,Leptospira,,,,
509,,Leptospira,,biflexa,,
50,,Bacteria,,,,
524,,Leptospira,,interrogans,,
53,,Pseudomonadales,,,,
544,,Spirochaeta,,,,
548,,Spirochaeta,,aurantia,,
555643,,Cyanarcus,,,,
57,,Nitrobacter,,,,
591707,,Serratia,,,,
591708,,Yersinia,,,,
599,,Rickettsiales,,,,
600,,Chlamydiales,,,,
602,,Cyanophyceae,,,,
603,,Chroococcales,,,,
604,,Chroococcaceae,,,,
605,,Agmenellum,,,,
606,,Agmenellum,,quadruplicatum,,
607,,Agmenellum,,thermale,,
608,,Agmenellum,,elegans,,
609,,Anacystis,,,,
610076,,Prochlorococcus,,,,
610077,,Prochlorococcus,,marinus,,
610,,Anacystis,,cyanea,,
611,,Anacystis,,dimidiata,,
612,,Anacystis,,marina,,
613,,Anacystis,,montana,,
614,,Anacystis,,montana,,montana
615,,Anacystis,,montana,,minor
616,,Anacystis,,thermalis,,
617,,Anacystis,,thermalis,,thermalis
618,,Anacystis,,thermalis,,major
620,,Anacystis,,incerta,,
621,,Anacystis,,aeruginosa,,
622,,Anacystis,,flosaquae,,
623,,Anacystis,,nidulans,,
624,,Anacystis,,marginata,,
625,,Aphanocapsa,,,,
626,,Aphanocapsa,,marina,,
627,,Aphanocapsa,,elachista,,
628,,Aphanocapsa,,elachista,,elachista
629,,Aphanocapsa,,elachista,,conferta
630,,Aphanocapsa,,pulchra,,
631,,Aphanocapsa,,parietina,,
632,,Aphanocapsa,,rivularis,,
634,,Aphanocapsa,,delicatissima,,
635,,Aphanocapsa,,grevillei,,
636,,Aphanothece,,,,
637,,Aphanothece,,pallida,,
638,,Aphanothece,,catagnei,,
639,,Aphanothece,,conferta,,
640,,Aphanothece,,microscopica,,
641,,Aphanothece,,microscopica,,micropcopica
642,,Aphanothece,,microscopica,,congesta
643,,Aphanothece,,saxicola,,
644,,Aphanothece,,stagnina,,
646,,Aphanothece,,clathrata,,
647,,Aphanothece,,gelatinosa,,
648,,Aphanothece,,heterospora,,
649,,Aphanothece,,microspora,,
64,,Nitrobacter,,winogradskyi,,
650,,Aphanothece,,nidulans,,
651,,Aphanothece,,nidulans,,nidulans
652,,Aphanothece,,nidulans,,endophytica
653,,Aphanothece,,ulginosa,,
654,,Chroococcus,,,,
655,,Chroococcus,,turgidus,,
656,,Chroococcus,,limneticus,,
657,,Chroococcus,,limneticus,,limneticus
658,,Chroococcus,,limneticus,,carneus
659,,Chroococcus,,limneticus,,distans
65,,Nitrosomonas,,,,
660,,Chroococcus,,limneticus,,elegans
661,,Chroococcus,,limneticus,,subsalsus
662,,Chroococcus,,limneticus,,purpureus
663,,Chroococcus,,rufescens,,
664,,Chroococcus,,cohaerens,,
665,,Chroococcus,,dispersus,,
666,,Chroococcus,,dispersus,,dispersus
667,,Chroococcus,,dispersus,,minor
668,,Chroococcus,,giganteus,,
669,,Chroococcus,,minimus,,
66,,Nitrosomonas,,europaea,,
670,,Chroococcus,,minor,,
671,,Chroococcus,,minutus,,
672,,Chroococcus,,multicoloratus,,
673,,Chroococcus,,pallidus,,
674,,Chroococcus,,prescottii,,
675,,Chroococcus,,refractus,,
676,,Chroococcus,,turicensis,,
677,,Chroococcus,,varius,,
678,,Coccochloris,,,,
679,,Coccochloris,,elabens,,
680,,Coccochloris,,peniocystis,,
681,,Coccochloris,,stagnina,,
682,,Gloeocapsa,,,,
683,,Gloeocapsa,,quarternata,,
684,,Gloeocapsa,,polydermatica,,
685,,Gloeocapsa,,magma,,
686,,Gloeocapsa,,sparsa,,
687,,Gloeocapsa,,atrata,,
688,,Gloeocapsa,,alpicola,,
689,,Gloeocapsa,,aeruginosa,,
690,,Gloeocapsa,,arenaria,,
691,,Gloeocapsa,,alpina,,
692,,Gloeocapsa,,calcarea,,
693,,Gloeocapsa,,conglomerata,,
694,,Gloeocapsa,,crepidinum,,
695,,Gloeocapsa,,dermochroa,,
696,,Gloeocapsa,,docorticans,,
697,,Gloeocapsa,,granosa,,
698,,Gloeocapsa,,montana,,
699,,Gloeocapsa,,nigrescens,,
700,,Gloeocapsa,,punctata,,
701,,Gloeocapsa,,rupestris,,
702,,Gloeocapsa,,violacea,,
703,,Gloeothece,,,,
704,,Gloeothece,,rupestris,,
706,,Gloeothece,,linearis,,
707770,,Bacteroides,,,,
707771,,Bacteroides,,fragilis,,
707,,Gloeothece,,linearis,,linearis
708,,Gloeothece,,linearis,,composita
709,,Gloeothece,,confluens,,
710,,Gloeothece,,distans,,
711,,Gloeothece,,fuscolutea,,
712,,Gloeothece,,goeppertiana,,
713,,Gloeothece,,membranacea,,
714,,Gomphosphaeria,,,,
715,,Gomphosphaeria,,aponina,,
716,,Gomphosphaeria,,aponina,,aponica
717,,Gomphosphaeria,,aponina,,delicatula
718,,Gomphosphaeria,,aponina,,gelatinosa
719,,Gomphosphaeria,,aponina,,cordiformis
71,,Thiobacillus,,,,
720,,Gomphosphaeria,,lacustris,,
721,,Gomphosphaeria,,lacustris,,lacustris
722,,Gomphosphaeria,,lacustris,,compacta
723,,Gomphosphaeria,,wichurae,,
724,,Johannesbaptistia,,,,
725,,Johannesbaptistia,,pellucida,,
726,,Johannesbaptistia,,primaria,,
727,,Merismopedia,,,,
728,,Merismopedia,,glauca,,
729,,Merismopedia,,convoluta,,
72,,Thiobacillus,,denitrificans,,
730,,Merismopedia,,convoluta,,convoluta
731,,Merismopedia,,convoluta,,minor
732,,Merismopedia,,elegans,,
733,,Merismopedia,,tranquilla,,
735,,Merismopedia,,angularis,,
736,,Merismopedia,,marssonii,,
737,,Merismopedia,,minima,,
738,,Merismopedia,,punctata,,
739,,Merismopedia,,tenuissima,,
73,,Pseudomonadaceae,,,,
740,,Merismopedia,,thermalis,,
741,,Merismopedia,,trolleri,,
742,,Merismopedia,,major,,
744,,Microcrocis,,,,
745,,Microcrocis,,sabulicola,,
746,,Microcrocis,,dietelii,,
747,,Microcystis,,,,
748,,Microcystis,,elabens,,
749,,Microcystis,,parasitica,,
74,,Pseudomonas,,,,
750,,Microcystis,,aeruginosa,,
753,,Microcystis,,aeruginosa,,aeruginosa
754,,Microcystis,,aeruginosa,,major
755,,Microcystis,,biformis,,
756,,Microcystis,,brunnea,,
757,,Microcystis,,delicatissima,,
758,,Microcystis,,elachista,,
759,,Microcystis,,elachista,,elaschista
75,,Pseudomonas,,fluorescens,,
760,,Microcystis,,elachista,,conferta
761,,Microcystis,,flosaquae,,
762,,Microcystis,,fuscolutea,,
763,,Microcystis,,glauca,,
764,,Microcystis,,grevillei,,
765,,Microcystis,,holsatica,,
766,,Microcystis,,marginata,,
767,,Microcystis,,pulchra,,
768,,Microcystis,,pulverea,,
769,,Microcystis,,pulverea,,pulverea
76,,Aeromonas,,,,
770,,Microcystis,,pulverea,,incerta
772,,Microcystis,,densa,,
773,,Synechococcus,,,,
774,,Synechococcus,,bacillaris,,
775,,Synechococcus,,aeruginosa,,
776,,Synechococcus,,elongatus,,
778,,Synechococcus,,cedrorum,,
779,,Synechococcus,,leopoliensis,,
77,,Aeromonas,,hydrophila,,
780,,Synechococcus,,naior,,
781,,Synechococcus,,arcuatus,,
782,,Synechococcus,,euryphyces,,
783,,Synechococcus,,eximus,,
784,,Synechococcus,,lividus,,
785,,Synechococcus,,lividus,,lividus
786,,Synechococcus,,lividus,,curvatus
787,,Synechococcus,,lividus,,nanum
788,,Synechococcus,,lividus,,siderophilus
789,,Synechococcus,,vescus,,
790,,Synechococcus,,viridissimus,,
791,,Coelosphaerium,,,,
792,,Coelosphaerium,,kuetzingianum,,
793,,Coelosphaerium,,naegelianum,,
794,,Coelosphaerium,,aerugineum,,
795,,Coelosphaerium,,conferta,,
796,,Coelosphaerium,,dubium,,
797,,Coelosphaerium,,minutissimum,,
798,,Coelosphaerium,,pallidum,,
799,,Synechocystis,,,,
800,,Synechocystis,,aquaticus,,
801,,Synechocystis,,minuscula,,
802,,Synechocystis,,thermalis,,
803,,Synechocystis,,crassa,,
804,,Synechocystis,,salina,,
805,,Rhabdoderma,,,,
806,,Rhabdoderma,,lineare,,
807,,Rhabdoderma,,sigmoidea,,
808,,Rhabdoderma,,sigmoidea,,sigmoidea
809,,Rhabdoderma,,sigmoidea,,minor
810,,Rhabdoderma,,gorskii,,
811,,Rhabdoderma,,irregulare,,
812,,Eucapsis,,,,
813,,Eucapsis,,alpina,,
814,,Eucapsis,,alpina,,alpina
815,,Eucapsis,,alpina,,minor
816,,Chondrocystis,,,,
817,,Chondrocystis,,schauinslandii,,
818,,Holopedium,,,,
819,,Holopedium,,irregulare,,
