SITE_ID,EPA_REG,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,HUC_2,HUC_8
NLA06608-2322,Region_8,18,III,III,MAN-MADE,WMTNS MAN-MADE,16,16010101
NLA06608-2332,Region_7,27,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10250009
NLA06608-2333,Region_3,63,XIV,CPL,MAN-MADE,PLNLOW MAN-MADE,2,2060008
NLA06608-2345,Region_8,20,III,III,MAN-MADE,WMTNS MAN-MADE,14,14060009
NLA06608-2354,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1090004
NLA06608-2372,Region_9,22,III,III,MAN-MADE,WMTNS MAN-MADE,14,14080204
NLA06608-2379,Region_8,18,III,III,MAN-MADE,WMTNS MAN-MADE,10,10180010
NLA06608-2418,Region_1,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,1,1090004
NLA06608-2426,Region_8,42,V,V,NATURAL,PLNLOW NATURAL,10,10040102
NLA06608-2429,Region_8,20,III,III,MAN-MADE,WMTNS MAN-MADE,14,14060004
NLA06608-2438,Region_10,80,III,III,MAN-MADE,WMTNS MAN-MADE,17,17120008
NLA06608-2450,Region_10,1,II,II,NATURAL,WMTNS NATURAL,17,17100304
NLA06608-2453,Region_9,80,III,III,MAN-MADE,WMTNS MAN-MADE,17,17050105
NLA06608-2457,Region_8,19,II,II,MAN-MADE,WMTNS MAN-MADE,15,15010008
NLA06608-2463,Region_8,20,III,III,MAN-MADE,WMTNS MAN-MADE,14,14060004
NLA06608-2477,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,15,15010011
NLA06608-2481,Region_10,11,II,II,MAN-MADE,WMTNS MAN-MADE,17,17070201
NLA06608-2492,Region_4,65,IX,IX,MAN-MADE,PLNLOW MAN-MADE,8,8030201
NLA06608-2497,Region_10,15,II,II,MAN-MADE,WMTNS MAN-MADE,17,17010214
NLA06608-2507,Region_5,55,VI,VI,MAN-MADE,PLNLOW MAN-MADE,5,5120201
NLA06608-2513,Region_10,2,II,II,NATURAL,WMTNS NATURAL,17,17110019
NLA06608-2523,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,4,4050001
NLA06608-2524,Region_6,73,X,CPL,NATURAL,PLNLOW NATURAL,8,8050003
NLA06608-2565,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3090101
NLA06608-2566,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1090005
NLA06608-2593,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3100101
NLA06608-2629,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3080101
NLA06608-2634,Region_8,17,II,II,NATURAL,WMTNS NATURAL,10,10070006
NLA06608-2640,Region_7,27,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10250007
NLA06608-2644,Region_5,55,VI,VI,MAN-MADE,PLNLOW MAN-MADE,5,5090203
NLA06608-2655,Region_8,20,III,III,MAN-MADE,WMTNS MAN-MADE,14,14040106
NLA06608-2657,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3100208
NLA06608-2663,Region_6,34,X,CPL,MAN-MADE,PLNLOW MAN-MADE,12,12040205
NLA06608-2673,Region_10,11,II,II,NATURAL,WMTNS NATURAL,17,17070201
NLA06608-2685,Region_8,19,II,II,MAN-MADE,WMTNS MAN-MADE,16,16020203
NLA06608-2696,Region_6,32,V,V,MAN-MADE,PLNLOW MAN-MADE,12,12030105
NLA06608-2704,Region_6,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,11,11090106
NLA06608-2708,Region_5,71,IX,IX,MAN-MADE,EHIGH MAN-MADE,5,5120201
NLA06608-2714,Region_8,17,II,II,MAN-MADE,WMTNS MAN-MADE,10,10120107
NLA06608-2715,Region_7,25,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10180009
NLA06608-2726,Region_10,9,II,II,NATURAL,WMTNS NATURAL,17,17070301
NLA06608-2740,Region_7,27,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10210003
NLA06608-2753,Region_10,10,III,III,NATURAL,WMTNS NATURAL,17,17010307
NLA06608-2759,Region_6,30,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,12,12090204
NLA06608-2776,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12030103
NLA06608-2779,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,5,5120106
NLA06608-2797,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,15,15010013
NLA06608-2800,Region_8,42,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10030104
NLA06608-2801,Region_10,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16020309
NLA06608-2807,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12060202
NLA06608-2823,Region_6,35,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11140207
NLA06608-2824,Region_7,44,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,10,10210010
NLA06608-2831,Region_4,67,XI,XI,MAN-MADE,EHIGH MAN-MADE,3,3150105
NLA06608-2833,Region_10,10,III,III,MAN-MADE,WMTNS MAN-MADE,17,17020009
NLA06608-2874,Region_8,42,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10030101
NLA06608-2881,Region_8,15,II,II,NATURAL,WMTNS NATURAL,17,17010210
NLA06608-2889,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16050304
NLA06608-2891,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,5,5120106
NLA06608-2916,Region_5,72,IX,IX,MAN-MADE,PLNLOW MAN-MADE,5,5140201
NLA06608-2924,Region_6,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,12,12080007
NLA06608-2954,Region_10,12,III,III,NATURAL,WMTNS NATURAL,17,17040203
NLA06608-2955,Region_4,67,XI,XI,MAN-MADE,EHIGH MAN-MADE,3,3150106
NLA06608-2972,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10210006
NLA06608-2987,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,7,7120001
NLA06608-2996,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11130206
NLA06608-3032,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11130201
NLA06608-3035,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,4,4050001
NLA06608-3083,Region_6,33,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12030202
