TSN,,Genus,,Species,,Variety
43926,,Endolimax,,,,
43927,,Endolimax,,nana,,
43928,,Pansporella,,,,
43929,,Pansporella,,perplexa,,
43930,,Flabellulidae,,,,
43931,,Flabellula,,,,
43932,,Flabellula,,velata,,
43933,,Hartmannellidae,,,,
43934,,Hartmannella,,,,
43935,,Hartmannella,,vermiformis,,
43936,,Glaeseria,,,,
43937,,Glaeseria,,mira,,
43938,,Glaeseria,,testudinis,,
43939,,Saccamoeba,,,,
43940,,Saccamoeba,,lucens,,
43941,,Saccamoeba,,limax,,
43942,,Rhizamoeba,,,,
43943,,Rhizamoeba,,polyura,,
43944,,Cashia,,,,
43945,,Cashia,,angelica,,
43946,,Arcellinida,,,,
43947,,Difflugiidae,,,,
43948,,Difflugia,,,,
43949,,Difflugia,,urceolata,,
43950,,Difflugia,,areolata,,
43951,,Difflugia,,corona,,
43952,,Difflugia,,globulus,,
43953,,Difflugia,,lanceolata,,
43954,,Difflugia,,oblonga,,
43955,,Difflugia,,garmen,,
43956,,Cucurbitella,,,,
43957,,Cucurbitella,,mespiliformis,,
43958,,Arcellidae,,,,
43959,,Arcella,,,,
43960,,Arcella,,vulgaris,,
43961,,Arcella,,dentata,,
43962,,Arcella,,arenaria,,
43963,,Arcella,,discoides,,
43964,,Arcella,,hemisphaerica,,
43965,,Centropyxidae,,,,
43966,,Centropyxis,,,,
43967,,Centropyxis,,aculeata,,
43968,,Paraquadrulidae,,,,
43969,,Paraquadrula,,,,
43970,,Quadrulella,,,,
43971,,Quadrulella,,debonti,,
43972,,Quadrulella,,elongata,,
43973,,Quadrulella,,quadrigera,,
43974,,Hyalospheniidae,,,,
43975,,Nebelidae,,,,
43976,,Nebela,,,,
43977,,Nebela,,collaris,,
43978,,Nebela,,vitrea,,
43979,,Phryganellidae,,,,
43980,,Phryganella,,,,
43981,,Phryganella,,paradoxica,,
43982,,Pseudodifflugiidae,,,,
43983,,Plagiophrys,,,,
43984,,Plagiophrys,,parvipunctata,,
43985,,Clypeolina,,,,
43986,,Clypeolina,,marginata,,
43987,,Baileyi,,,,
43988,,Baileyi,,mutabilis,,
43990,,Pseudodifflugia,,,,
43991,,Pseudodifflugia,,fulva,,
43992,,Pseudodifflugia,,gracilis,,
43993,,Filosia,,,,
43994,,Aconchulinida,,,,
43995,,Vampyrellidae,,,,
43996,,Vampyrella,,,,
43997,,Vampyrella,,lateritia,,
43998,,Nucleariidae,,,,
43999,,Nuclearia,,,,
44000,,Nuclearia,,simplex,,
44001,,Gromiina,,,,
44002,,Gromiidae,,,,
44003,,Gromia,,,,
44004,,Gromia,,oviformis,,
44005,,Gromia,,nigricans,,
44006,,Euglyphidae,,,,
44007,,Euglypha,,,,
44008,,Euglypha,,loevis,,
44009,,Euglypha,,cristata,,
44010,,Euglypha,,elongata,,
44011,,Trinema,,,,
44012,,Trinema,,enchelys,,
44013,,Paulinellidae,,,,
44014,,Paulinella,,,,
44015,,Paulinella,,riveroi,,
44016,,Paulinella,,bulloides,,
44017,,Paulinella,,osloensis,,
44018,,Paulinella,,quinqueloba,,
44019,,Paulinella,,subsphaerica,,
44020,,Paulinella,,trinitatensis,,
44021,,Paulinella,,sphaeroides,,
44022,,Paulinella,,subcarinata,,
44023,,Cyphoderiidae,,,,
44024,,Cyphoderia,,,,
44025,,Cyphoderia,,ampulla,,
44026,,Granuloreticulosea,,,,
44029,,Athalamida,,,,
44030,,Foraminiferida,,,,
44031,,Allogromiina,,,,
44032,,Lagynacea,,,,
44033,,Lagynidae,,,,
44034,,Iridia,,,,
44035,,Iridia,,serialis,,
44036,,Iridia,,lucida,,
44037,,Iridia,,diaphana,,
44038,,Allogromiidae,,,,
44039,,Allogromia,,,,
44040,,Allogromia,,laticollaris,,
44041,,Allogromia,,flexibilis,,
44042,,Botellina,,,,
44043,,Botellina,,labryinthica,,
44044,,Textulariina,,,,
44045,,Ammodiscacea,,,,
44046,,Astrorhizidae,,,,
44047,,Astrorhizinae,,,,
44048,,Rhabdammina,,,,
44049,,Rhabdammina,,abyssorum,,
44050,,Rhabdammina,,abyssorum,,radiata
44051,,Rhabdammina,,abyssorum,,abyssorum
44052,,Rhabdammina,,cornuta,,
44053,,Rhabdammina,,cornuta,,spiculotesta
44054,,Rhabdammina,,cornuta,,cornuta
44055,,Rhabdammina,,discreta,,
44056,,Rhabdammina,,discreta,,spiculosa
44057,,Rhabdammina,,linearis,,
44058,,Rhabdammina,,triangularis,,
44059,,Astrammina,,,,
44060,,Astrammina,,rara,,
44061,,Astrammina,,sphaerica,,
44062,,Bathysiphon,,,,
44063,,Bathysiphon,,filiformis,,
44064,,Bathysiphon,,rufus,,
44065,,Bathysiphon,,rufescens,,
44066,,Astrorhiza,,,,
44067,,Astrorhiza,,limicola,,
44068,,Astrorhiza,,arenaria,,
44069,,Rhizammininae,,,,
44070,,Rhizammina,,,,
44071,,Rhizammina,,indivisa,,
44072,,Rhizammina,,algaeformis,,
44073,,Marsipella,,,,
44074,,Marsipella,,cylindrica,,
44075,,Marsipella,,elongata,,
44076,,Jaculella,,,,
44077,,Jaculella,,acuta,,
44078,,Hippocrepinella,,,,
44079,,Hippocrepinella,,flexibilis,,
44080,,Hippocrepininae,,,,
44081,,Hippocrepina,,,,
44082,,Hippocrepina,,indivisa,,
44083,,Hyperammina,,,,
44084,,Hyperammina,,elongata,,
44085,,Hyperammina,,friabilis,,
44086,,Hyperammina,,laevigata,,
44087,,Hyperammina,,adunca,,
44088,,Hyperammina,,spiculifera,,
44089,,Hyperammina,,distorta,,
44090,,Hyperammina,,caribbeana,,
44091,,Hyperammina,,vagans,,
44092,,Hyperammina,,cylindrica,,
44093,,Hyperammina,,subnodosa,,
44094,,Saccorhiza,,,,
44096,,Saccorhiza,,ramosa,,
44097,,Dendrophryninae,,,,
44098,,Dendrophryinae,,,,
44099,,Dendrophyra,,,,
44100,,Dendrophyra,,findens,,
44102,,Dendrophyra,,arborescens,,
44103,,Schizamminidae,,,,
44104,,Stegnamminidae,,,,
44105,,Saccamminidae,,,,
44106,,Psammosphaerinae,,,,
44107,,Psammosphaera,,,,
44108,,Psammosphaera,,fusca,,
44109,,Psammosphaera,,parva,,
44110,,Psammosphaera,,rustica,,
44111,,Psammosphaera,,testacea,,
44112,,Saccammininae,,,,
44113,,Saccammina,,,,
44114,,Saccammina,,difflugiformis,,
44115,,Saccammina,,atlantica,,
44116,,Saccammina,,helenae,,
44117,,Saccammina,,sphaerica,,
44118,,Saccammina,,testacea,,
44119,,Saccammina,,tubulata,,
44120,,Technitella,,,,
44121,,Technitella,,melo,,
44122,,Technitella,,atlantica,,
44123,,Pelosina,,,,
44124,,Pelosina,,variabilis,,
44125,,Pelosina,,cylindrica,,
44126,,Lagenammina,,,,
44127,,Lagenammina,,atlantica,,
44128,,Lagenammina,,difflugiformis,,
44129,,Thurammina,,,,
44130,,Thurammina,,papillata,,
44131,,Thurammina,,favosa,,
44132,,Hemisphaaerammininae,,,,
44133,,Hemisphaerammina,,,,
44134,,Hemisphaerammina,,bradyi,,
44135,,Tholosima,,,,
44136,,Tholosima,,indivisa,,
44137,,Diffusilininae,,,,
44138,,Crithionina,,,,
44139,,Crithionina,,pisum,,
44140,,Crithionina,,granum,,
44141,,Ammodiscidae,,,,
44142,,Ammovolummininae,,,,
44143,,Ammodiscinae,,,,
44144,,Ammodiscus,,,,
