"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_UT-392","NLA06608-4537",39.36035119,-111.9637079,3220.730169,11.3,66.81251202,1521.41,16,16030003,13,13,"Region_8",1585,4420,645,55,16564,8.54,16.0517948717949,6.52692810457516
"NLA12_UT-397","",37.59556184,-112.2546686,70.18197711,1.5,5.665048589,2389.88,16,16030002,19,19,"Region_8",360,3380,271,16,3486,8.63,10.334358974359,6.64862745098039
"NLA12_UT-400","",40.05768033,-110.627715,11.46657216,11,1.569730173,2048.02,14,14060004,20,20,"Region_8",4570,13580,1136,1208,20180,8.96,11.5214102564103,6.38176470588235
"NLA12_UT-409","",40.71105895,-111.9468346,11.81867316,1.1,1.473969119,1291.04,16,16020204,13,13,"Region_8",1554,5130,1648,237,31648,8.38,15.1724358974359,6.54967320261438
"NLA12_UT-412","",40.86378075,-109.8118146,18.09977611,5.7,2.21347948,2528.06,14,14040106,19,19,"Region_8",74.2,3550,299,54,6898,8.02,11.9179487179487,0.0447058823529412
"NLA12_UT-424","",40.6710886,-109.9197001,60.68523709,1.4,3.329681887,3036.85,14,14060003,19,19,"Region_8",19.83,3870,534,43,1801,7.07,9.57051282051282,0.0447058823529412
"NLA12_VA-101","NLA06608-0045",37.29244811,-77.89349456,28.83811387,2,4.086384821,65.73,2,2080207,45,45,"Region_3",119.65,5730,783,152.5,24516,7.86,30.0179487179487,5.82424836601307
"NLA12_VA-102","NLA06608-0989",37.12263436,-77.63606476,34.2910015,5.2,5.535706128,61.6,3,3010201,45,45,"Region_3",42.3,8830,1084,70,7814,7.12,22.4282051282051,5.82424836601307
"NLA12_VA-103","NLA06608-0541",38.96474349,-77.33558453,10.11166745,7.5,1.956647098,97.61,2,2070008,45,45,"Region_3",199.8,4090,368,24,2686,7.19,20.6102564102564,5.88921568627451
"NLA12_VA-104","NLA06608-0324",36.94402045,-82.20326629,29.68265713,5.4,3.491105923,469.85,6,6010205,69,69,"Region_3",374,2460,179,19,6600,8.2,25.17,5.73928104575163
"NLA12_VA-105","NLA06608-0749",38.21768841,-77.66992533,15.44877236,3.2,4.202051236,70.84,2,2080105,45,45,"Region_3",68,5970,538,80,20820,7.24,22.2402564102564,5.88921568627451
